,ClassType,WeaponSet,WeaponType,Level,AtkSpd,Atk,SPD,BossDMG,IED,MainStat,SecStat,HP,MAtk
45,DemonAvenger,Fensalir,Desperado,140,6,122,0,0,0,0,0,0,0
46,DemonAvenger,Fafnir,Desperado,150,6,171,0,30,10,40,0,2000,0
47,DemonAvenger,Absolab,Desperado,160,6,205,0,30,10,60,0,2250,0
48,DemonAvenger,Arcane,Desperado,200,6,295,0,30,20,100,0,2500,0
49,DemonAvenger,Genesis,Desperado,200,6,340,0,30,20,150,0,2800,0
50,Mercedes,Fensalir,DualBowguns,140,6,115,14,0,0,0,0,0,0
51,Mercedes,Fafnir,DualBowguns,150,6,160,0,30,10,40,40,0,0
52,Mercedes,Absolab,DualBowguns,160,6,192,15,30,10,60,60,0,0
53,Mercedes,Arcane,DualBowguns,200,6,276,0,30,20,100,100,0,0
54,Mercedes,Genesis,DualBowguns,200,6,318,19,30,20,150,150,0,0
55,Kanna,Fensalir,Fan,140,4,93,0,0,0,0,0,0,115
56,Kanna,Fafnir,Fan,150,8,126,0,30,10,40,0,0,204
57,Kanna,Absolab,Fan,160,8,143,0,30,10,60,0,0,241
58,Kanna,Arcane,Fan,200,6,206,0,30,20,100,0,0,347
59,Kanna,Genesis,Fan,200,6,237,0,30,20,150,0,0,400
60,Pirate,Fensalir,Gun,140,5,90,0,0,0,0,0,0,0
61,Pirate,Fafnir,Gun,150,5,125,0,30,10,40,40,0,0
62,Pirate,Absolab,Gun,160,5,150,0,30,10,60,60,0,0
63,Pirate,Arcane,Gun,200,5,216,0,30,20,100,100,0,0
64,Pirate,Genesis,Gun,200,5,249,0,30,20,150,150,0,0
65,Cannoneer,Fensalir,HandCannon,140,8,122,0,0,0,0,0,0,0
66,Cannoneer,Fafnir,HandCannon,150,8,175,0,30,10,40,40,0,0
67,Cannoneer,Absolab,HandCannon,160,8,210,0,30,10,60,60,0,0
68,Cannoneer,Arcane,HandCannon,200,8,302,0,30,20,100,100,0,0
69,Cannoneer,Genesis,HandCannon,200,8,348,0,30,20,150,150,0,0
70,Zero,Type1,HeavySword,100,8,102,0,0,0,0,0,0,0
71,Zero,Type2,HeavySword,110,8,105,0,0,0,0,0,0,0
72,Zero,Type3,HeavySword,120,8,107,0,0,0,0,0,0,0
73,Zero,Type4,HeavySword,130,8,114,0,0,0,0,0,0,0
74,Zero,Type5,HeavySword,140,8,121,0,0,0,8,4,0,0
75,Zero,Type6,HeavySword,150,8,139,0,0,0,35,20,0,0
76,Zero,Type7,HeavySword,170,8,173,0,30,10,40,40,0,0
77,Zero,Type8,HeavySword,180,8,207,0,30,10,60,60,0,0
78,Zero,Type9,HeavySword,200,8,297,0,30,20,100,100,0,0
79,Zero,Lapis,HeavySword,200,8,342,0,30,20,150,150,0,0
80,Hayato,Fensalir,Katana,140,5,118,0,0,0,0,0,0,0
81,Hayato,Fafnir,Katana,150,5,164,0,30,10,40,40,0,0
82,Hayato,Absolab,Katana,160,5,197,0,30,10,60,60,0,0
83,Hayato,Arcane,Katana,200,5,283,0,30,20,100,100,0,0
84,Hayato,Genesis,Katana,200,5,326,0,30,20,150,150,0,0
85,Pirate,Fensalir,Knuckle,140,5,90,0,0,0,0,0,0,0
86,Pirate,Fafnir,Knuckle,150,5,128,0,30,10,40,40,0,0
87,Pirate,Absolab,Knuckle,160,5,154,0,30,10,60,60,0,0
88,Pirate,Arcane,Knuckle,200,5,221,0,30,20,100,100,0,0
89,Pirate,Genesis,Knuckle,200,5,255,0,30,20,150,150,0,0
90,Zero,Type1,LongSword(Zero),100,6,100,0,0,0,0,0,0,0
91,Zero,Type2,LongSword(Zero),110,6,103,0,0,0,0,0,0,0
92,Zero,Type3,LongSword(Zero),120,6,105,0,0,0,0,0,0,0
93,Zero,Type4,LongSword(Zero),130,6,112,0,0,0,0,0,0,0
94,Zero,Type5,LongSword(Zero),140,6,117,0,0,0,8,4,0,0
95,Zero,Type6,LongSword(Zero),150,6,135,0,0,0,35,20,0,0
96,Zero,Type7,LongSword(Zero),170,6,169,0,30,10,40,40,0,0
97,Zero,Type8,LongSword(Zero),180,6,203,0,30,10,60,60,0,0
98,Zero,Type9,LongSword(Zero),200,6,293,0,30,20,100,100,0,0
99,Zero,Lazuli,LongSword(Zero),200,6,337,0,30,20,150,150,0,0
100,Illium,Fensalir,MagicGauntlet,140,6,93,0,0,0,0,0,0,153
101,Illium,Fafnir,MagicGauntlet,150,6,119,0,30,10,40,0,0,201
102,Illium,Absolab,MagicGauntlet,160,6,143,0,30,10,60,0,0,241
103,Illium,Arcane,MagicGauntlet,200,6,206,0,30,20,100,0,0,347
104,Illium,Genesis,MagicGauntlet,200,6,237,0,30,20,150,0,0,400
105,Warrior,Fensalir,One-HandedAxe,140,5,118,0,0,0,0,0,0,0
106,Warrior,Fafnir,One-HandedAxe,150,5,164,0,30,10,40,40,0,0
107,Warrior,Absolab,One-HandedAxe,160,5,197,0,30,10,60,60,0,0
108,Warrior,Arcane,One-HandedAxe,200,5,283,0,30,20,100,100,0,0
109,Warrior,Genesis,One-HandedAxe,200,5,326,0,30,20,150,150,0,0
110,Warrior,Fensalir,One-HandedBluntWeapon,140,5,118,0,0,0,0,0,0,0
111,Warrior,Fafnir,One-HandedBluntWeapon,150,5,164,0,30,10,40,40,0,0
112,Warrior,Absolab,One-HandedBluntWeapon,160,5,197,0,30,10,60,60,0,0
113,Warrior,Arcane,One-HandedBluntWeapon,200,5,283,0,30,20,100,100,0,0
114,Warrior,Genesis,One-HandedBluntWeapon,200,5,326,0,30,20,150,150,0,0
115,Warrior,Fensalir,One-HandedSword,140,5,118,0,0,0,0,0,0,0
116,Warrior,Fafnir,One-HandedSword,150,5,164,0,30,10,40,40,0,0
117,Warrior,Absolab,One-HandedSword,160,5,197,0,30,10,60,60,0,0
118,Warrior,Arcane,One-HandedSword,200,5,283,0,30,20,100,100,0,0
119,Warrior,Genesis,One-HandedSword,200,5,326,0,30,20,150,150,0,0
120,Warrior,Fensalir,Polearm,140,5,122,0,0,0,0,0,0,0
121,Warrior,Fafnir,Polearm,150,5,153,0,30,10,40,40,0,0
122,Warrior,Absolab,Polearm,160,5,184,0,30,10,60,60,0,0
123,Warrior,Arcane,Polearm,200,5,264,0,30,20,100,100,0,0
124,Warrior,Genesis,Polearm,200,5,304,0,30,20,150,150,0,0
125,Kinesis,Fensalir,PsyLimiter,140,6,93,0,0,0,0,0,0,153
126,Kinesis,Fafnir,PsyLimiter,150,6,119,0,30,10,40,0,0,201
127,Kinesis,Absolab,PsyLimiter,160,6,143,0,30,10,60,0,0,241
128,Kinesis,Arcane,PsyLimiter,200,6,206,0,30,20,100,0,0,347
129,Kinesis,Genesis,PsyLimiter,200,6,237,0,30,20,150,0,0,400
130,Hoyoung,Fensalir,RitualFan,140,4,115,0,0,0,0,0,0,0
131,Hoyoung,Fafnir,RitualFan,150,4,160,0,30,10,40,0,0,0
132,Hoyoung,Absolab,RitualFan,160,4,192,0,30,10,60,0,0,0
133,Hoyoung,Arcane,RitualFan,200,4,276,0,30,20,100,0,0,0
134,Hoyoung,Genesis,RitualFan,200,4,318,0,30,20,150,0,0,0
135,BeastTamer,Fensalir,Scepter,140,6,93,0,0,0,0,0,0,153
136,BeastTamer,Fafnir,Scepter,150,6,119,0,30,10,40,0,0,201
137,BeastTamer,Absolab,Scepter,160,6,143,0,30,10,60,0,0,241
138,BeastTamer,Arcane,Scepter,200,6,206,0,30,10,100,0,0,347
139,BeastTamer,Genesis,Scepter,200,6,237,0,30,20,150,0,0,400
140,Luminous,Fensalir,ShiningRod,140,6,93,0,0,0,0,0,0,153
141,Luminous,Fafnir,ShiningRod,150,6,119,0,30,10,40,0,0,201
142,Luminous,Absolab,ShiningRod,160,6,143,0,30,10,60,0,0,241
143,Luminous,Arcane,ShiningRod,200,6,206,0,30,20,100,0,0,347
144,Luminous,Genesis,ShiningRod,200,6,237,0,30,20,150,0,0,400
145,AngelicBuster,Fensalir,SoulShooter,140,5,92,0,0,0,0,0,0,0
146,AngelicBuster,Fafnir,SoulShooter,150,5,128,0,30,10,40,40,0,0
147,AngelicBuster,Absolab,SoulShooter,160,5,154,0,30,10,60,60,0,0
148,AngelicBuster,Arcane,SoulShooter,200,5,221,0,30,20,100,100,0,0
149,AngelicBuster,Genesis,SoulShooter,200,5,255,0,30,20,150,150,0,0
150,Warrior,Fensalir,Spear,140,6,124,0,0,0,0,0,0,0
151,Warrior,Fafnir,Spear,150,6,171,0,30,10,40,40,0,0
152,Warrior,Absolab,Spear,160,6,205,0,30,10,60,60,0,0
153,Warrior,Arcane,Spear,200,6,295,0,30,20,100,100,0,0
154,Warrior,Genesis,Spear,200,6,340,0,30,20,150,150,0,0
155,Magician,Fensalir,Staff,140,8,98,0,0,0,0,0,0,155
156,Magician,Fafnir,Staff,150,8,126,0,30,10,40,0,0,204
157,Magician,Absolab,Staff,160,8,151,0,30,10,60,0,0,245
158,Magician,Arcane,Staff,200,8,218,0,30,20,100,0,0,353
159,Magician,Genesis,Staff,200,6,251,0,30,20,150,0,0,406
160,Warrior,Fensalir,Two-HandedAxe,140,6,124,0,0,0,0,0,0,0
161,Warrior,Fafnir,Two-HandedAxe,150,6,171,0,30,10,40,40,0,0
162,Warrior,Absolab,Two-HandedAxe,160,6,205,0,30,10,60,60,0,0
163,Warrior,Arcane,Two-HandedAxe,200,6,295,0,30,20,100,100,0,0
164,Warrior,Genesis,Two-HandedAxe,200,6,340,0,30,20,150,150,0,0
165,Warrior,Fensalir,Two-HandedBluntWeapon,140,6,124,0,0,0,0,0,0,0
166,Warrior,Fafnir,Two-HandedBluntWeapon,150,6,171,0,30,10,40,40,0,0
167,Warrior,Absolab,Two-HandedBluntWeapon,160,6,205,0,30,10,60,60,0,0
168,Warrior,Arcane,Two-HandedBluntWeapon,200,6,295,0,30,20,100,100,0,0
169,Warrior,Genesis,Two-HandedBluntWeapon,200,6,340,0,30,20,150,150,0,0
170,Warrior,Fensalir,Two-HandedSword,140,6,122,0,0,0,0,0,0,0
171,Warrior,Fafnir,Two-HandedSword,150,6,171,0,30,10,40,40,0,0
172,Warrior,Absolab,Two-HandedSword,160,6,205,0,30,10,60,60,0,0
173,Warrior,Arcane,Two-HandedSword,200,6,295,0,30,20,100,100,0,0
174,Warrior,Genesis,Two-HandedSword,200,6,340,0,30,20,150,150,0,0
175,Magician,Fensalir,Wand,140,6,93,0,0,0,0,0,0,153
176,Magician,Fafnir,Wand,150,6,119,0,30,10,40,0,0,201
177,Magician,Absolab,Wand,160,6,143,0,30,10,60,0,0,241
178,Magician,Arcane,Wand,200,6,206,0,30,20,100,0,0,347
179,Magician,Genesis,Wand,200,6,237,0,30,20,150,0,0,400
180,Xenon,Fensalir,WhipBlade,140,5,90,0,0,0,0,0,0,0
181,Xenon,Fafnir,WhipBlade,150,5,128,0,30,10,40,0,0,0
182,Xenon,Absolab,WhipBlade,160,5,154,0,30,10,60,0,0,0
183,Xenon,Arcane,WhipBlade,200,5,221,0,30,20,100,0,0,0
184,Xenon,Genesis,WhipBlade,200,5,255,0,30,20,150,0,0,0
185,Kain,Fensalir,BreathShooter,140,4,115,14,0,0,0,0,0,0
186,Kain,Fafnir,BreathShooter,150,4,160,0,30,10,40,40,0,0
187,Kain,Absolab,BreathShooter,160,4,192,12,30,10,60,60,0,0
188,Kain,Arcane,BreathShooter,200,4,276,19,30,20,100,100,0,0
189,Kain,Genesis,BreathShooter,200,4,318,19,30,20,150,150,0,0
